loss,supervised_loss,contrastive_loss,consistency_loss,time
4.482,0.451,8.0619,0,2024-05-17 00:07:34
5.7317,0.167,11.1294,0,2024-05-17 00:12:42
5.9172,0.1494,11.5355,0,2024-05-17 00:20:50
4.6519,0.1403,9.0231,0,2024-05-17 00:28:16
4.1085,0.1368,7.9433,0,2024-05-17 00:35:05
3.9911,0.1637,7.6548,0,2024-05-17 00:41:29
3.9979,0.18,7.6358,0,2024-05-17 00:47:50
3.9956,0.18,7.6313,0,2024-05-17 00:54:17
4.0288,0.2148,7.628,0,2024-05-17 01:00:37
3.9881,0.1746,7.6271,0,2024-05-17 01:06:49
3.9633,0.1493,7.628,0,2024-05-17 01:13:11
3.9441,0.1305,7.6273,0,2024-05-17 01:19:32
3.9359,0.1225,7.6268,0,2024-05-17 01:25:52
3.9336,0.1204,7.6265,0,2024-05-17 01:32:09
3.9345,0.1211,7.6267,0,2024-05-17 01:38:30
3.9405,0.1274,7.6263,0,2024-05-17 01:44:38
3.9395,0.1265,7.626,0,2024-05-17 01:50:43
3.9438,0.131,7.6257,0,2024-05-17 01:56:48
3.9591,0.1462,7.6259,0,2024-05-17 02:02:42
3.9788,0.1659,7.6258,0,2024-05-17 02:08:34
3.9331,0.1202,7.6258,0,2024-05-17 02:14:21
4.0027,0.1898,7.6258,0,2024-05-17 02:20:31
3.9807,0.1679,7.6257,0,2024-05-17 02:26:22
3.937,0.1242,7.6256,0,2024-05-17 02:32:05
3.9954,0.1826,7.6256,0,2024-05-17 02:37:48
4.019,0.2062,7.6256,0,2024-05-17 02:43:35
3.9862,0.1734,7.6256,0,2024-05-17 02:49:42
3.9386,0.1258,7.6255,0,2024-05-17 02:55:47
3.9309,0.1182,7.6254,0,2024-05-17 03:01:23
3.9627,0.15,7.6255,0,2024-05-17 03:07:29
3.9828,0.17,7.6255,0,2024-05-17 03:13:29
3.9658,0.1531,7.6254,0,2024-05-17 03:19:47
3.9358,0.1231,7.6254,0,2024-05-17 03:26:04
3.9332,0.1205,7.6254,0,2024-05-17 03:32:19
3.9424,0.1297,7.6254,0,2024-05-17 03:38:17
3.9479,0.1352,7.6253,0,2024-05-17 03:44:04
3.9543,0.1416,7.6253,0,2024-05-17 03:50:00
3.9537,0.141,7.6254,0,2024-05-17 03:55:54
3.949,0.1364,7.6254,0,2024-05-17 04:01:52
3.9414,0.1288,7.6253,0,2024-05-17 04:07:28
3.9328,0.1201,7.6253,0,2024-05-17 04:13:35
3.9264,0.1137,7.6253,0,2024-05-17 04:19:35
3.9256,0.113,7.6253,0,2024-05-17 04:25:25
3.9319,0.1193,7.6253,0,2024-05-17 04:31:18
3.9349,0.1223,7.6252,0,2024-05-17 04:37:22
3.9281,0.1155,7.6253,0,2024-05-17 04:43:24
3.9197,0.107,7.6252,0,2024-05-17 04:49:20
3.9166,0.1039,7.6253,0,2024-05-17 04:55:27
3.9235,0.1109,7.6253,0,2024-05-17 05:01:40
3.9248,0.1122,7.6252,0,2024-05-17 05:07:36
3.9215,0.1089,7.6252,0,2024-05-17 05:13:53
3.9192,0.1066,7.6252,0,2024-05-17 05:20:09
3.917,0.1044,7.6252,0,2024-05-17 05:26:07
3.9153,0.1027,7.6252,0,2024-05-17 05:32:26
3.9174,0.1048,7.6252,0,2024-05-17 05:38:20
3.9209,0.1083,7.6252,0,2024-05-17 05:44:33
3.919,0.1064,7.6252,0,2024-05-17 05:50:42
3.918,0.1054,7.6252,0,2024-05-17 05:56:46
3.9172,0.1046,7.6252,0,2024-05-17 06:02:58
3.915,0.1024,7.6252,0,2024-05-17 06:09:17
3.9147,0.1022,7.6252,0,2024-05-17 06:15:34
3.9146,0.102,7.6252,0,2024-05-17 06:21:48
3.9165,0.1039,7.6252,0,2024-05-17 06:28:00
3.9219,0.1093,7.6252,0,2024-05-17 06:34:31
3.9204,0.1078,7.6252,0,2024-05-17 06:40:54
3.9137,0.1011,7.6252,0,2024-05-17 06:47:10
3.9146,0.102,7.6252,0,2024-05-17 06:53:29
3.917,0.1044,7.6252,0,2024-05-17 06:59:45
3.9173,0.1047,7.6252,0,2024-05-17 07:05:54
3.9165,0.1039,7.6252,0,2024-05-17 07:12:02
3.9155,0.1029,7.6252,0,2024-05-17 07:18:26
3.9145,0.1019,7.6252,0,2024-05-17 07:24:35
3.9136,0.101,7.6252,0,2024-05-17 07:30:52
3.9172,0.1046,7.6252,0,2024-05-17 07:37:18
3.9191,0.1065,7.6252,0,2024-05-17 07:43:30
3.9161,0.1035,7.6252,0,2024-05-17 07:49:50
3.9118,0.0992,7.6252,0,2024-05-17 07:56:22
3.9108,0.0982,7.6252,0,2024-05-17 08:02:53
3.9121,0.0995,7.6252,0,2024-05-17 08:09:09
3.9143,0.1017,7.6251,0,2024-05-17 08:15:28
3.9154,0.1028,7.6251,0,2024-05-17 08:21:39
3.9167,0.1041,7.6251,0,2024-05-17 08:27:58
3.9155,0.103,7.6252,0,2024-05-17 08:34:35
3.9141,0.1015,7.6251,0,2024-05-17 08:40:50
3.9111,0.0985,7.6251,0,2024-05-17 08:46:54
3.908,0.0955,7.6251,0,2024-05-17 08:53:25
3.9067,0.0942,7.6251,0,2024-05-17 08:59:52
3.9065,0.0939,7.6251,0,2024-05-17 09:06:19
3.9093,0.0968,7.6251,0,2024-05-17 09:12:41
3.9104,0.0978,7.6251,0,2024-05-17 09:19:00
3.911,0.0984,7.6251,0,2024-05-17 09:25:21
3.9102,0.0976,7.6251,0,2024-05-17 09:31:24
3.9085,0.0959,7.6251,0,2024-05-17 09:37:38
3.9079,0.0953,7.6251,0,2024-05-17 09:44:18
3.9069,0.0944,7.6251,0,2024-05-17 09:50:33
3.9041,0.0915,7.6251,0,2024-05-17 09:56:53
3.9025,0.0899,7.6251,0,2024-05-17 10:03:16
3.9035,0.0909,7.6251,0,2024-05-17 10:09:58
3.9048,0.0922,7.6251,0,2024-05-17 10:16:38
3.9049,0.0924,7.6251,0,2024-05-17 10:22:53
